,y
0,99.0
1,99.0
2,99.0
3,99.0
4,99.0
5,99.0
6,99.0
7,99.0
8,99.0
9,99.0
10,99.0
11,99.0
12,99.0
13,99.0
14,99.0
15,99.0
16,99.0
17,99.0
18,99.0
19,99.0
20,99.0
21,99.0
22,99.0
23,99.0
24,99.0
25,99.0
26,99.0
27,99.0
28,99.0
29,99.0
30,99.0
31,99.0
32,99.0
33,99.0
34,99.0
35,99.0
36,99.0
37,99.0
38,99.0
39,99.0
40,99.0
41,99.0
42,99.0
43,99.0
44,99.0
45,99.0
46,99.0
47,99.0
48,99.0
49,99.0
50,99.0
51,99.0
52,99.0
53,99.0
54,99.0
55,99.0
56,99.0
57,99.0
58,99.0
59,99.0
60,99.0
61,99.0
62,99.0
63,99.0
64,99.0
65,99.0
66,99.0
67,99.0
68,99.0
69,99.0
70,99.0
71,99.0
72,99.0
73,99.0
74,99.0
75,99.0
76,99.0
77,99.0
78,99.0
79,99.0
80,99.0
81,99.0
82,99.0
83,99.0
84,99.0
85,99.0
86,99.0
87,99.0
88,98.83333333333333
89,98.66666666666667
90,98.5
91,98.4090909090909
92,98.31818181818181
93,98.22727272727273
94,98.13636363636364
95,98.04545454545455
96,98.0
97,98.0
98,98.0
99,98.0
100,98.0
101,97.83333333333333
102,97.66666666666667
103,97.5
104,97.38888888888889
105,97.27777777777777
106,97.16666666666667
107,97.05555555555556
108,97.0
109,97.0
110,97.0
111,97.0
112,96.9
113,96.7
114,96.5
115,96.38888888888889
116,96.27777777777777
117,96.16666666666667
118,96.05555555555556
119,95.94444444444444
120,95.83333333333333
121,95.72222222222223
122,95.61111111111111
123,95.5
124,95.375
125,95.25
126,95.125
127,95.0
128,94.85714285714286
129,94.71428571428571
130,94.57142857142857
131,94.42857142857143
132,94.28571428571429
133,94.14285714285714
134,94.0
135,93.83333333333333
136,93.66666666666667
137,93.5
138,93.33333333333333
139,93.16666666666667
140,93.0
141,92.83333333333333
142,92.66666666666667
143,92.5
144,92.3
145,92.1
146,91.875
147,91.625
148,91.375
149,91.125
150,90.85714285714286
151,90.57142857142857
152,90.28571428571429
153,90.0
154,89.66666666666667
155,89.33333333333333
156,89.0
157,88.6
158,88.2
159,87.75
160,87.25
161,86.66666666666667
162,86.0
163,85.5
164,84.83333333333333
165,84.0
166,83.0
167,82.0
168,80.5
169,78.0
170,74.5
171,58.282051282051285
172,56.2
173,49.78260869565217
174,43.130434782608695
175,36.47826086956522
176,29.82608695652174
177,26.5
178,26.5
179,26.5
180,26.5
181,26.5
182,26.5
183,26.5
184,26.5
185,26.5
186,26.5
187,26.5
188,26.5
189,26.5
190,26.5
191,26.5
192,26.5
193,26.5
194,26.5
195,26.5
196,26.5
197,26.5
198,26.5
199,26.5
200,26.5
201,26.5
202,26.5
203,26.5
204,26.5
205,26.5
206,26.5
207,26.5
208,26.5
209,26.5
210,26.5
211,26.5
212,26.5
213,26.5
214,26.5
215,26.5
216,26.5
217,26.5
218,26.5
219,26.5
220,26.5
221,26.5
222,26.5
223,26.5
224,26.5
225,26.5
226,26.5
227,26.5
228,26.5
229,26.5
230,26.5
231,26.5
232,26.5
233,26.5
234,26.5
235,26.5
236,26.5
237,26.5
238,26.5
239,26.5
240,26.5
241,26.5
242,26.5
243,26.5
244,26.5
245,26.5
246,26.5
247,26.5
248,26.5
249,26.5
250,26.5
251,26.5
252,26.5
253,26.5
254,26.5
255,26.571428571428573
256,26.714285714285715
257,26.857142857142858
258,27.0
259,27.5
260,29.0
261,31.5
262,33.5
263,35.5
264,37.5
265,39.0
266,40.5
267,42.0
268,44.0
269,45.0
270,47.0
271,48.0
272,49.0
273,51.0
274,52.0
275,53.0
276,54.5
277,55.5
278,56.5
279,57.5
280,58.5
281,59.5
282,60.5
283,61.5
284,62.5
285,63.5
286,64.5
287,65.5
288,66.5
289,67.5
290,68.0
291,68.5
292,69.5
293,70.5
294,71.5
295,72.0
296,72.5
297,73.5
298,74.0
299,75.0
300,75.5
301,76.5
302,77.0
303,77.5
304,78.5
305,79.0
306,79.5
307,80.0
308,80.5
309,81.5
310,82.0
311,82.5
312,83.0
313,83.5
314,84.0
315,85.0
316,85.5
317,86.0
318,86.5
319,87.0
320,87.5
321,88.0
322,88.5
323,89.0
324,89.5
325,90.0
326,90.5
327,90.83333333333333
328,91.25
329,91.75
330,92.25
331,92.75
332,93.25
333,93.75
334,94.16666666666667
335,94.5
336,94.83333333333333
337,95.25
338,95.75
339,96.25
340,96.75
341,97.16666666666667
342,97.5
343,97.83333333333333
344,98.25
345,98.75
