,y
0,56.0
1,78.0
2,64.0
3,50.0
4,48.5
5,47.0
6,45.891891891891895
7,44.78378378378378
8,43.67567567567568
9,42.567567567567565
10,41.45945945945946
11,40.351351351351354
12,39.24324324324324
13,38.13513513513514
14,37.027027027027025
15,35.91891891891892
16,34.81081081081081
17,33.7027027027027
18,32.5945945945946
19,31.486486486486484
20,30.37837837837838
21,29.27027027027027
22,28.16216216216216
23,27.054054054054053
24,26.541666666666668
25,26.625
26,26.708333333333332
27,26.791666666666668
28,26.875
29,26.958333333333332
30,27.0
31,27.0
32,27.0
33,27.0
34,27.0
35,27.0
36,27.0
37,27.0
38,27.0
39,27.0
40,27.0
41,27.0
42,27.09090909090909
43,27.181818181818183
44,27.272727272727273
45,27.363636363636363
46,27.454545454545453
47,27.5
48,27.5
49,27.5
50,27.5
51,27.666666666666668
52,28.0
53,27.5
54,27.642857142857142
55,27.785714285714285
56,27.928571428571427
57,28.0
58,28.0
59,28.0
60,28.0
61,28.0
62,28.0
63,28.041666666666668
64,28.125
65,28.208333333333332
66,28.291666666666668
67,28.375
68,28.458333333333332
69,28.5
70,28.5
71,28.5
72,28.5
73,28.642857142857142
74,28.785714285714285
75,28.928571428571427
76,29.0
77,29.0
78,29.0
79,29.0
80,29.0
81,29.0
82,29.041666666666668
83,29.125
84,29.208333333333332
85,29.291666666666668
86,29.375
87,29.458333333333332
88,29.541666666666668
89,29.625
90,29.708333333333332
91,29.791666666666668
92,29.875
93,29.958333333333332
94,30.0
95,30.0
96,30.0
97,30.0
98,30.0
99,30.055555555555557
100,30.166666666666668
101,30.27777777777778
102,30.38888888888889
103,30.5
104,30.642857142857142
105,30.785714285714285
106,30.928571428571427
107,29.0
108,25.0
109,31.0
110,31.5
111,32.5
112,33.5
113,34.0
114,34.5
115,35.5
116,36.5
117,37.5
118,38.0
119,38.5
120,39.5
121,40.5
122,41.0
123,41.5
124,42.5
125,43.5
126,44.5
127,45.0
128,45.5
129,46.5
130,47.5
131,48.166666666666664
132,48.833333333333336
133,49.5
134,50.5
135,51.5
136,52.0
137,52.5
138,53.5
139,54.5
140,55.5
141,56.0
142,56.5
143,57.5
144,58.5
145,59.0
146,59.5
147,60.5
148,61.5
149,62.5
150,63.0
151,63.5
152,64.5
153,65.5
154,66.16666666666667
155,66.83333333333333
156,67.5
157,68.5
158,69.5
159,70.0
160,70.5
161,71.5
162,72.5
163,73.5
164,74.0
165,74.5
166,75.5
167,76.5
168,77.0
169,77.5
170,78.5
171,79.5
172,80.5
173,81.0
174,81.5
175,82.5
176,83.5
177,84.16666666666667
178,84.83333333333333
179,85.5
180,86.5
181,87.5
182,88.0
183,88.5
184,89.5
185,90.5
186,91.5
187,92.0
188,92.5
189,93.5
190,94.5
191,95.0
192,95.5
193,96.5
194,97.5
195,81.0
196,93.0
197,90.91666666666667
198,74.75
199,90.25
200,97.875
201,97.625
202,97.41666666666667
203,97.25
204,97.08333333333333
205,96.9
206,96.7
207,96.5
208,96.3
209,96.1
210,95.9
211,95.7
212,95.5
213,95.3
214,95.1
215,94.9
216,94.7
217,94.5
218,94.33333333333333
219,94.16666666666667
220,94.0
221,93.83333333333333
222,93.66666666666667
223,93.5
224,93.3
225,93.1
226,92.91666666666667
227,92.75
228,92.58333333333333
229,92.41666666666667
230,92.25
231,92.08333333333333
232,91.92857142857143
233,91.78571428571429
234,91.64285714285714
235,91.5
236,91.35714285714286
237,91.21428571428571
238,91.07142857142857
239,90.9
240,90.7
241,90.5
242,90.35714285714286
243,90.21428571428571
244,90.07142857142857
245,89.92857142857143
246,89.78571428571429
247,89.64285714285714
248,89.5
249,89.35714285714286
250,89.21428571428571
251,89.07142857142857
252,88.94444444444444
253,88.83333333333333
254,88.72222222222223
255,88.61111111111111
256,88.5
257,88.35714285714286
258,88.21428571428571
259,88.07142857142857
260,87.92857142857143
261,87.78571428571429
262,87.64285714285714
263,87.5
264,87.375
265,87.25
266,87.125
267,87.0
268,86.88888888888889
269,86.77777777777777
270,86.66666666666667
271,86.55555555555556
272,86.44444444444444
273,86.33333333333333
274,86.22222222222223
275,86.11111111111111
276,86.0
277,77.11111111111111
278,68.22222222222223
279,59.333333333333336
280,85.5
281,65.5
282,85.5
283,65.25
284,69.8
285,83.5
286,83.0
287,82.5
288,81.5
289,81.0
290,80.5
291,79.5
292,79.0
293,78.0
294,77.5
295,77.0
296,76.0
297,75.5
298,75.0
299,74.0
300,73.5
301,72.5
302,72.0
303,71.5
304,70.5
305,70.0
306,69.5
307,68.5
308,68.0
309,67.5
310,66.5
311,66.0
312,65.5
313,64.5
314,64.0
315,63.5
316,62.5
317,62.0
318,61.5
319,60.5
320,60.0
321,59.5
322,58.5
323,58.0
324,57.5
325,56.5
326,56.0
327,55.5
328,54.5
329,54.0
330,53.0
331,52.5
332,52.0
333,51.0
334,50.5
335,50.0
336,49.0
337,48.5
338,47.5
339,47.0
340,46.5
341,45.5
342,45.0
343,44.5
344,43.5
345,43.0
346,42.5
347,41.5
348,41.0
349,40.5
350,39.5
351,39.0
352,38.5
353,37.5
354,37.0
355,36.5
356,35.5
357,35.0
358,34.5
359,33.5
360,33.0
361,32.5
362,31.5
363,31.0
364,30.5
365,29.5
366,29.0
367,28.0
368,27.5
369,27.0
370,26.0
