,y
0,66.0
1,71.0
2,69.03125
3,67.0625
4,65.09375
5,63.125
6,61.15625
7,59.1875
8,57.21875
9,55.25
10,53.28125
11,51.3125
12,49.34375
13,47.375
14,45.40625
15,43.4375
16,41.46875
17,39.5
18,32.25
19,40.0
20,40.5
21,40.833333333333336
22,41.25
23,41.75
24,42.25
25,42.75
26,43.25
27,43.75
28,44.166666666666664
29,44.5
30,45.0
31,45.5
32,46.0
33,46.5
34,47.0
35,47.5
36,48.0
37,48.5
38,49.0
39,49.5
40,50.0
41,50.666666666666664
42,51.333333333333336
43,52.0
44,52.5
45,53.0
46,53.5
47,54.0
48,54.5
49,55.5
50,56.0
51,56.5
52,57.0
53,57.5
54,58.5
55,59.0
56,59.5
57,60.0
58,61.0
59,61.5
60,62.0
61,62.5
62,63.5
63,64.0
64,65.0
65,65.5
66,66.5
67,67.0
68,67.5
69,68.5
70,69.0
71,69.5
72,70.5
73,71.5
74,72.0
75,72.5
76,73.5
77,74.5
78,75.16666666666667
79,75.83333333333333
80,76.5
81,77.5
82,78.5
83,79.16666666666667
84,79.83333333333333
85,80.5
86,81.5
87,82.5
88,83.5
89,84.16666666666667
90,84.83333333333333
91,85.5
92,86.5
93,87.5
94,88.5
95,89.5
96,90.5
97,91.5
98,92.5
99,93.5
100,94.0
101,95.0
102,95.5
103,96.5
104,97.5
105,98.5
106,83.33333333333333
107,97.0
108,79.6
109,95.5
110,94.5
111,93.5
112,92.5
113,91.5
114,90.83333333333333
115,90.16666666666667
116,89.5
117,88.5
118,87.5
119,87.0
120,86.5
121,85.5
122,85.0
123,84.5
124,83.5
125,83.0
126,82.5
127,81.5
128,81.0
129,80.5
130,80.0
131,79.0
132,78.5
133,78.0
134,77.5
135,77.0
136,76.5
137,76.0
138,75.5
139,75.0
140,74.33333333333333
141,73.83333333333333
142,73.5
143,73.0
144,72.5
145,72.0
146,71.5
147,71.16666666666667
148,70.75
149,70.25
150,69.75
151,69.25
152,68.83333333333333
153,68.5
154,68.16666666666667
155,67.75
156,67.25
157,66.83333333333333
158,66.5
159,66.16666666666667
160,65.8
161,65.4
162,65.0
163,64.66666666666667
164,64.33333333333333
165,64.0
166,63.666666666666664
167,63.333333333333336
168,63.0
169,62.666666666666664
170,62.333333333333336
171,62.0
172,61.666666666666664
173,61.333333333333336
174,61.0
175,60.714285714285715
176,60.42857142857143
177,60.142857142857146
178,59.857142857142854
179,59.57142857142857
180,59.285714285714285
181,59.0
182,58.714285714285715
183,58.42857142857143
184,58.142857142857146
185,57.857142857142854
186,57.57142857142857
187,57.285714285714285
188,57.0
189,51.125
190,45.25
191,52.416666666666664
192,55.833333333333336
193,55.5
194,55.0
195,54.5
196,54.166666666666664
197,53.75
198,53.25
199,52.75
200,52.25
201,51.75
202,51.25
203,50.833333333333336
204,50.5
205,50.0
206,49.5
207,49.166666666666664
208,48.75
209,48.25
210,47.8
211,47.4
212,47.0
213,46.6
214,46.2
215,45.8
216,45.4
217,45.0
218,44.6
219,44.2
220,43.8
221,43.4
222,43.0
223,42.666666666666664
224,42.333333333333336
225,42.0
226,41.6
227,41.2
228,40.8
229,40.4
230,40.0
231,39.666666666666664
232,39.333333333333336
233,39.0
234,38.666666666666664
235,38.333333333333336
236,38.0
237,37.666666666666664
238,37.333333333333336
239,37.0
240,36.666666666666664
241,36.333333333333336
242,36.0
243,35.714285714285715
244,35.42857142857143
245,35.142857142857146
246,34.857142857142854
247,34.57142857142857
248,34.285714285714285
249,34.0
250,33.714285714285715
251,33.42857142857143
252,33.142857142857146
253,32.857142857142854
254,32.57142857142857
255,32.285714285714285
256,32.0
257,31.714285714285715
258,31.428571428571427
259,31.142857142857142
260,30.875
261,30.625
262,30.375
263,30.125
264,29.875
265,29.625
266,29.375
267,29.125
268,28.9
269,28.7
270,28.5
271,28.25
272,28.0
273,27.75
274,27.5
275,27.3
276,27.1
277,26.9
278,26.7
279,26.5
280,20.0
281,22.0
282,24.0
283,26.0
284,27.0
285,27.0
286,27.0
287,27.0
288,27.083333333333332
289,27.25
290,27.416666666666668
291,27.55
292,27.65
293,27.75
294,27.85
295,27.95
296,28.0
297,28.0
298,28.0
299,28.0
300,28.25
301,28.5
302,28.61111111111111
303,28.72222222222222
304,28.833333333333332
305,28.944444444444443
306,29.0
307,29.0
308,29.0
309,29.0
310,29.333333333333332
311,29.5625
312,29.6875
313,29.8125
314,29.9375
315,30.0625
316,30.1875
317,30.3125
318,30.4375
319,30.5625
320,30.6875
321,30.8125
322,30.9375
323,31.0625
324,31.1875
325,31.3125
326,31.4375
327,31.571428571428573
328,31.714285714285715
329,31.857142857142858
330,32.0
331,32.166666666666664
332,32.333333333333336
333,32.5
334,32.666666666666664
335,32.833333333333336
336,33.0
337,33.166666666666664
338,33.333333333333336
339,33.5
340,33.7
341,33.9
342,34.1
343,34.3
344,34.5
345,34.7
346,34.9
347,35.1
348,35.3
349,35.5
350,35.7
351,35.9
352,36.125
353,36.375
354,36.625
355,36.875
356,37.125
357,37.375
358,37.625
359,37.875
360,38.142857142857146
361,38.42857142857143
362,38.714285714285715
363,39.0
364,35.625
365,32.25
