,y
0,26.5
1,26.5
2,26.5
3,26.5
4,26.5
5,26.5
6,26.5
7,26.5
8,26.5
9,26.5
10,26.5
11,26.5
12,26.5
13,26.5
14,26.5
15,26.5
16,26.5
17,26.5
18,26.5
19,26.5
20,26.5
21,26.5
22,26.5
23,26.5
24,26.5
25,26.5
26,26.5
27,26.5
28,26.5
29,26.5
30,26.5
31,26.5
32,26.5
33,26.5
34,26.5
35,26.5
36,26.5
37,26.5
38,26.5
39,26.5
40,26.5
41,26.5
42,26.5
43,26.5
44,26.5
45,26.5
46,26.5
47,26.5
48,26.5
49,26.5
50,26.5
51,26.5
52,26.5
53,26.5
54,26.5
55,26.5
56,26.5
57,26.5
58,26.5
59,26.5
60,26.5
61,26.5
62,26.5
63,26.5
64,26.5
65,26.5
66,26.5
67,26.5
68,26.5
69,26.5
70,26.5
71,26.5
72,26.5
73,26.5
74,26.5
75,26.5
76,26.5
77,26.5
78,26.5
79,26.5
80,26.5
81,26.5
82,26.5
83,40.91621621621621
84,55.332432432432434
85,62.70739232383068
86,63.04109589041096
87,99.0
88,77.25
89,83.46428571428571
90,89.67857142857143
91,95.89285714285714
92,99.0
93,99.0
94,99.0
95,99.0
96,99.0
97,99.0
98,99.0
99,99.0
100,99.0
101,99.0
102,99.0
103,99.0
104,99.0
105,99.0
106,99.0
107,99.0
108,99.0
109,99.0
110,99.0
111,99.0
112,99.0
113,99.0
114,99.0
115,99.0
116,99.0
117,99.0
118,99.0
119,99.0
120,99.0
121,99.0
122,99.0
123,99.0
124,99.0
125,99.0
126,99.0
127,99.0
128,99.0
129,99.0
130,99.0
131,99.0
132,99.0
133,99.0
134,99.0
135,99.0
136,99.0
137,99.0
138,99.0
139,99.0
140,99.0
141,99.0
142,99.0
143,99.0
144,99.0
145,99.0
146,99.0
147,99.0
148,99.0
149,99.0
150,99.0
151,99.0
152,99.0
153,99.0
154,99.0
155,99.0
156,99.0
157,99.0
158,99.0
159,99.0
160,99.0
161,99.0
162,99.0
163,99.0
164,99.0
165,99.0
166,99.0
167,99.0
168,99.0
169,98.9
170,98.7
171,98.5
172,96.5
173,95.0
174,91.0
175,88.0
176,85.0
177,81.5
178,78.5
179,76.5
180,74.0
181,71.5
182,69.0
183,67.0
184,65.5
185,63.5
186,61.5
187,60.0
188,58.5
189,57.0
190,55.5
191,54.0
192,53.0
193,51.5
194,50.5
195,49.5
196,48.5
197,47.5
198,46.5
199,45.5
200,44.833333333333336
201,44.166666666666664
202,43.5
203,42.5
204,42.0
205,41.0
206,40.5
207,40.0
208,39.5
209,39.0
210,38.5
211,38.0
212,37.5
213,37.166666666666664
214,36.75
215,36.25
216,35.833333333333336
217,35.5
218,35.25
219,35.0
220,34.666666666666664
221,34.333333333333336
222,34.0
223,33.666666666666664
224,33.333333333333336
225,33.0
226,32.75
227,32.5
228,32.333333333333336
229,32.166666666666664
230,32.0
231,31.833333333333332
232,31.666666666666668
233,31.5
234,31.3
235,31.1
236,30.928571428571427
237,30.785714285714285
238,30.642857142857142
239,30.5
240,30.375
241,30.25
242,30.125
243,30.0
244,29.88888888888889
245,29.77777777777778
246,29.666666666666668
247,29.555555555555557
248,29.45
249,29.35
250,29.25
251,29.15
252,29.05
253,29.0
254,29.0
255,29.0
256,29.0
257,28.75
258,28.5
259,24.916666666666664
260,21.33333333333333
261,23.380952380952376
262,25.428571428571427
263,27.476190476190474
264,28.5
265,28.5
266,28.5
267,28.5
268,28.4375
269,28.3125
270,28.1875
271,28.0625
272,28.0
273,28.0
274,28.0
275,28.0
276,28.0
277,28.0
278,28.0
279,28.0
280,28.0
281,28.0
282,28.0
283,28.0
284,28.0
285,28.0
286,28.0
287,28.0
288,28.0
289,28.0
290,28.0
291,28.0
292,28.0
293,28.0
294,28.0
295,27.88888888888889
296,27.77777777777778
297,27.666666666666668
298,27.555555555555557
299,27.5
300,27.5
301,27.5
302,27.5
303,27.5
304,27.5
305,27.5
306,27.5
307,27.5
308,27.5
309,27.5
310,27.45
311,27.35
312,27.25
313,27.15
314,27.05
315,27.0
316,27.0
317,27.0
318,27.0
319,27.0
320,27.0
321,27.0
322,27.0
323,27.0
324,27.0
325,27.0
326,27.0
327,27.0
328,27.0
329,27.0
330,27.0
331,27.0
332,27.0
333,27.0
334,27.0
335,27.0
336,27.0
337,27.0
338,26.88888888888889
339,26.77777777777778
340,26.666666666666668
341,26.555555555555557
342,26.5
343,26.5
344,26.5
345,26.5
