,y
0,77.0
1,76.33333333333333
2,75.66666666666667
3,75.0
4,70.8125
5,66.625
6,62.4375
7,58.25
8,54.0625
9,49.875
10,45.6875
11,41.5
12,37.3125
13,33.125
14,28.9375
15,24.75
16,20.5625
17,16.375
18,12.1875
19,8.0
20,26.5
21,28.5
22,28.818181818181813
23,33.0
24,36.0
25,39.5
26,42.0
27,44.0
28,46.5
29,47.5
30,49.5
31,51.5
32,53.0
33,54.0
34,55.5
35,57.0
36,58.0
37,59.5
38,60.5
39,61.5
40,62.5
41,63.5
42,64.0
43,65.0
44,65.5
45,66.5
46,67.5
47,68.0
48,68.5
49,69.5
50,70.0
51,71.0
52,71.5
53,72.0
54,72.66666666666667
55,73.25
56,73.75
57,74.33333333333333
58,75.0
59,75.5
60,76.0
61,76.5
62,77.0
63,77.5
64,77.83333333333333
65,78.25
66,78.75
67,79.25
68,79.75
69,80.2
70,80.6
71,81.0
72,81.4
73,81.8
74,82.2
75,82.6
76,83.0
77,83.4
78,83.8
79,84.16666666666667
80,84.5
81,84.83333333333333
82,85.16666666666667
83,85.5
84,85.75
85,86.0
86,86.33333333333333
87,86.66666666666667
88,87.0
89,87.25
90,87.5
91,87.83333333333333
92,88.2
93,88.6
94,89.0
95,89.25
96,89.5
97,89.75
98,90.0
99,90.33333333333333
100,90.66666666666667
101,91.0
102,91.25
103,91.5
104,91.7
105,91.9
106,92.14285714285714
107,92.42857142857143
108,92.71428571428571
109,93.0
110,93.25
111,93.5
112,93.7
113,93.9
114,94.1
115,94.3
116,94.5
117,94.75
118,95.0
119,95.25
120,95.5
121,95.7
122,95.9
123,96.1
124,96.3
125,96.5
126,96.7
127,96.9
128,97.1
129,97.3
130,97.5
131,97.7
132,97.9
133,98.1
134,98.3
135,98.5
136,98.75
137,99.0
138,88.125
139,77.25
140,83.46428571428571
141,89.67857142857143
142,95.89285714285714
143,99.0
144,99.0
145,99.0
146,99.0
147,99.0
148,99.0
149,99.0
150,99.0
151,99.0
152,99.0
153,99.0
154,99.0
155,99.0
156,99.0
157,99.0
158,99.0
159,99.0
160,99.0
161,99.0
162,99.0
163,99.0
164,99.0
165,99.0
166,99.0
167,99.0
168,99.0
169,99.0
170,99.0
171,99.0
172,99.0
173,99.0
174,99.0
175,99.0
176,99.0
177,99.0
178,99.0
179,99.0
180,99.0
181,99.0
182,99.0
183,99.0
184,99.0
185,99.0
186,99.0
187,99.0
188,99.0
189,99.0
190,99.0
191,99.0
192,99.0
193,99.0
194,99.0
195,99.0
196,99.0
197,99.0
198,99.0
199,99.0
200,99.0
201,99.0
202,99.0
203,99.0
204,99.0
205,99.0
206,99.0
207,99.0
208,99.0
209,99.0
210,99.0
211,99.0
212,99.0
213,99.0
214,99.0
215,99.0
216,99.0
217,99.0
218,99.0
219,99.0
220,99.0
221,99.0
222,99.0
223,99.0
224,99.0
225,99.0
226,99.0
227,99.0
228,99.0
229,99.0
230,99.0
231,99.0
232,99.0
233,99.0
234,99.0
235,99.0
236,99.0
237,99.0
238,99.0
239,99.0
240,99.0
241,99.0
242,99.0
243,99.0
244,99.0
245,99.0
246,99.0
247,99.0
248,99.0
249,99.0
250,99.0
251,98.92857142857143
252,98.78571428571429
253,98.64285714285714
254,98.5
255,97.5
256,97.16666666666667
257,96.66666666666667
258,96.0
259,95.5
260,95.0
261,94.5
262,94.0
263,93.5
264,93.0
265,92.33333333333333
266,91.66666666666667
267,91.0
268,90.5
269,90.0
270,89.5
271,89.0
272,88.5
273,88.0
274,87.5
275,87.0
276,86.0
277,85.5
278,85.0
279,84.5
280,84.0
281,83.5
282,83.0
283,82.33333333333333
284,81.66666666666667
285,81.0
286,80.5
287,80.0
288,79.5
289,79.0
290,78.0
291,77.5
292,77.0
293,76.5
294,76.0
295,75.5
296,75.0
297,74.0
298,73.5
299,73.0
300,72.33333333333333
301,71.66666666666667
302,71.0
303,70.5
304,70.0
305,69.0
306,68.5
307,68.0
308,67.5
309,67.0
310,66.5
311,66.0
312,65.0
313,64.5
314,64.0
315,63.0
316,62.5
317,62.0
318,61.5
319,60.5
320,60.0
321,59.5
322,58.5
323,58.0
324,57.5
325,57.0
326,56.0
327,55.5
328,55.0
329,54.0
330,53.5
331,53.0
332,52.0
333,51.5
334,51.0
335,50.5
336,49.5
337,49.0
338,48.0
339,47.5
340,47.0
341,46.0
342,45.5
343,44.5
344,44.0
345,43.5
346,43.0
347,42.0
348,41.5
349,40.5
350,40.0
351,39.5
352,38.5
353,37.5
354,37.0
355,36.5
356,35.5
357,35.0
358,34.5
359,33.5
360,33.0
361,32.0
362,31.5
363,30.5
364,29.5
365,29.0
366,28.5
367,27.5
368,26.5
