,y
0,99.0
1,99.0
2,99.0
3,99.0
4,99.0
5,99.0
6,99.0
7,99.0
8,99.0
9,99.0
10,99.0
11,99.0
12,99.0
13,99.0
14,99.0
15,99.0
16,99.0
17,99.0
18,99.0
19,99.0
20,99.0
21,99.0
22,99.0
23,99.0
24,99.0
25,99.0
26,99.0
27,99.0
28,99.0
29,99.0
30,99.0
31,99.0
32,99.0
33,99.0
34,99.0
35,99.0
36,99.0
37,99.0
38,99.0
39,99.0
40,99.0
41,99.0
42,99.0
43,99.0
44,99.0
45,99.0
46,99.0
47,99.0
48,99.0
49,99.0
50,99.0
51,99.0
52,99.0
53,99.0
54,99.0
55,99.0
56,99.0
57,99.0
58,99.0
59,99.0
60,99.0
61,99.0
62,99.0
63,99.0
64,99.0
65,99.0
66,99.0
67,99.0
68,99.0
69,99.0
70,99.0
71,99.0
72,99.0
73,99.0
74,99.0
75,99.0
76,99.0
77,99.0
78,99.0
79,99.0
80,99.0
81,99.0
82,99.0
83,99.0
84,99.0
85,99.0
86,99.0
87,99.0
88,98.66666666666667
89,98.4375
90,98.3125
91,98.1875
92,98.0625
93,97.94444444444444
94,97.83333333333333
95,97.72222222222223
96,97.61111111111111
97,97.5
98,97.375
99,97.25
100,97.125
101,97.0
102,96.85714285714286
103,96.71428571428571
104,96.57142857142857
105,96.4375
106,96.3125
107,96.1875
108,96.0625
109,95.92857142857143
110,95.78571428571429
111,95.64285714285714
112,95.5
113,95.33333333333333
114,95.16666666666667
115,95.0
116,94.83333333333333
117,94.66666666666667
118,94.5
119,94.33333333333333
120,94.16666666666667
121,94.0
122,93.83333333333333
123,93.66666666666667
124,93.5
125,93.3
126,93.1
127,92.9
128,92.7
129,92.5
130,92.3
131,92.1
132,91.875
133,91.625
134,91.375
135,91.125
136,90.85714285714286
137,90.57142857142857
138,90.28571428571429
139,90.0
140,89.75
141,89.5
142,89.25
143,89.0
144,88.6
145,88.2
146,87.83333333333333
147,87.5
148,87.16666666666667
149,86.75
150,86.25
151,85.83333333333333
152,85.5
153,85.0
154,84.5
155,84.0
156,83.5
157,83.0
158,82.5
159,81.5
160,80.5
161,80.0
162,79.5
163,78.0
164,77.0
165,76.0
166,74.5
167,72.5
168,70.0
169,67.0
170,61.0
171,46.0
172,43.0
173,34.0
174,31.857142857142858
175,29.714285714285715
176,27.57142857142857
177,26.5
178,26.5
179,26.5
180,26.5
181,26.5
182,26.5
183,26.5
184,26.5
185,26.5
186,26.5
187,26.5
188,26.5
189,26.5
190,26.5
191,26.5
192,26.5
193,26.5
194,26.5
195,26.5
196,26.5
197,26.5
198,26.5
199,26.5
200,26.5
201,26.5
202,26.5
203,26.5
204,26.5
205,26.5
206,26.5
207,26.5
208,26.5
209,26.5
210,26.5
211,26.5
212,26.5
213,26.5
214,26.5
215,26.5
216,26.5
217,26.5
218,26.5
219,26.5
220,26.5
221,26.5
222,26.5
223,26.5
224,26.5
225,26.5
226,26.5
227,26.5
228,26.5
229,26.5
230,26.5
231,26.5
232,26.5
233,26.5
234,26.5
235,26.5
236,26.5
237,26.5
238,26.5
239,26.5
240,26.5
241,26.5
242,26.5
243,26.5
244,26.5
245,26.5
246,26.5
247,26.5
248,26.5
249,26.5
250,26.5
251,26.5
252,26.5
253,26.5
254,26.5
255,28.5
256,32.5
257,36.5
258,40.5
259,44.5
260,50.5
261,64.5
262,69.0
263,71.0
264,73.5
265,75.0
266,76.0
267,77.5
268,78.5
269,79.5
270,80.5
271,81.5
272,82.0
273,82.5
274,83.0
275,83.66666666666667
276,84.25
277,84.75
278,85.25
279,85.75
280,86.16666666666667
281,86.5
282,86.83333333333333
283,87.2
284,87.6
285,88.0
286,88.33333333333333
287,88.66666666666667
288,89.0
289,89.33333333333333
290,89.66666666666667
291,90.0
292,90.25
293,90.5
294,90.75
295,91.0
296,91.25
297,91.5
298,91.7
299,91.9
300,92.1
301,92.3
302,92.5
303,92.7
304,92.9
305,93.1
306,93.3
307,93.5
308,93.7
309,93.9
310,94.08333333333333
311,94.25
312,94.41666666666667
313,94.58333333333333
314,94.75
315,94.91666666666667
316,95.08333333333333
317,95.25
318,95.41666666666667
319,95.57142857142857
320,95.71428571428571
321,95.85714285714286
322,96.0
323,96.14285714285714
324,96.28571428571429
325,96.42857142857143
326,96.5625
327,96.6875
328,96.8125
329,96.9375
330,97.0625
331,97.1875
332,97.3125
333,97.4375
334,97.5625
335,97.6875
336,97.8125
337,97.9375
338,98.05555555555556
339,98.16666666666667
340,98.27777777777777
341,98.38888888888889
342,98.5
343,98.66666666666667
344,98.83333333333333
