,y
0,55.666666666666664
1,60.0
2,53.0
3,50.0
4,50.75
5,51.5
6,48.46666666666667
7,45.43333333333334
8,42.4
9,39.36666666666667
10,36.333333333333336
11,33.3
12,30.266666666666666
13,27.233333333333334
14,24.200000000000003
15,21.166666666666668
16,18.133333333333333
17,15.100000000000001
18,12.06666666666667
19,9.033333333333331
20,6.0
21,11.857142857142858
22,17.714285714285715
23,23.57142857142857
24,26.5
25,26.5
26,26.5
27,26.5
28,26.5
29,26.61111111111111
30,26.72222222222222
31,26.833333333333332
32,26.944444444444443
33,27.0
34,27.0
35,27.0
36,27.0
37,27.0
38,27.0
39,27.0
40,27.0
41,27.0
42,27.0
43,27.0
44,27.0
45,27.0
46,27.0
47,27.0
48,27.0
49,27.0
50,27.05
51,27.15
52,27.25
53,27.35
54,27.45
55,27.5
56,27.5
57,27.5
58,27.5
59,27.5
60,27.5
61,27.5
62,27.5
63,27.5
64,27.5
65,27.642857142857142
66,27.785714285714285
67,27.928571428571427
68,28.0
69,28.0
70,28.0
71,28.0
72,28.0
73,28.0
74,28.0
75,28.0
76,28.0
77,28.0
78,28.0
79,28.0
80,28.0
81,28.0
82,28.0
83,28.0
84,28.142857142857142
85,28.285714285714285
86,28.428571428571427
87,28.5
88,28.5
89,28.5
90,28.5
91,28.5
92,28.5
93,28.541666666666668
94,28.625
95,28.708333333333332
96,28.791666666666668
97,28.875
98,28.958333333333332
99,29.0
100,29.0
101,29.0
102,29.0
103,29.0
104,29.0
105,28.214285714285715
106,26.642857142857142
107,25.071428571428573
108,23.5
109,27.5
110,29.833333333333332
111,30.5
112,27.599999999999994
113,32.5
114,33.5
115,34.0
116,34.5
117,35.5
118,36.5
119,37.5
120,38.0
121,38.5
122,39.5
123,40.5
124,41.5
125,42.0
126,42.5
127,43.5
128,44.5
129,45.5
130,46.0
131,46.5
132,47.5
133,48.5
134,49.5
135,50.0
136,50.5
137,51.5
138,52.5
139,53.5
140,54.0
141,54.5
142,55.5
143,56.5
144,57.5
145,58.0
146,58.5
147,59.5
148,60.5
149,61.5
150,62.0
151,62.5
152,63.5
153,64.5
154,65.5
155,66.16666666666667
156,66.83333333333333
157,67.5
158,68.5
159,69.5
160,70.16666666666667
161,70.83333333333333
162,71.5
163,72.5
164,73.5
165,74.16666666666667
166,74.83333333333333
167,75.5
168,76.5
169,77.5
170,78.16666666666667
171,78.83333333333333
172,79.5
173,80.5
174,81.5
175,82.5
176,83.0
177,83.5
178,84.5
179,85.5
180,86.5
181,87.0
182,87.5
183,88.5
184,89.5
185,90.5
186,91.0
187,91.5
188,92.5
189,93.5
190,94.5
191,95.0
192,95.5
193,96.5
194,97.5
195,81.0
196,93.0
197,88.44444444444444
198,67.33333333333334
199,79.80000000000001
200,92.26666666666667
201,98.45
202,98.35
203,98.25
204,98.15
205,98.05
206,98.0
207,98.0
208,98.0
209,98.0
210,97.92857142857143
211,97.78571428571429
212,97.64285714285714
213,97.5
214,97.4090909090909
215,97.31818181818181
216,97.22727272727273
217,97.13636363636364
218,97.04545454545455
219,97.0
220,97.0
221,97.0
222,97.0
223,96.92857142857143
224,96.78571428571429
225,96.64285714285714
226,96.5
227,96.4090909090909
228,96.31818181818181
229,96.22727272727273
230,96.13636363636364
231,96.04545454545455
232,96.0
233,96.0
234,96.0
235,96.0
236,96.0
237,95.94444444444444
238,95.83333333333333
239,95.72222222222223
240,95.61111111111111
241,95.5
242,95.4090909090909
243,95.31818181818181
244,95.22727272727273
245,95.13636363636364
246,95.04545454545455
247,95.0
248,95.0
249,95.0
250,95.0
251,95.0
252,94.95
253,94.85
254,94.75
255,94.65
256,94.55
257,94.45833333333333
258,94.375
259,94.29166666666667
260,94.20833333333333
261,94.125
262,94.04166666666667
263,94.0
264,94.0
265,94.0
266,94.0
267,94.0
268,93.95
269,93.85
270,93.75
271,93.65
272,93.55
273,93.45454545454545
274,93.36363636363636
275,93.27272727272727
276,93.18181818181819
277,93.0909090909091
278,93.0
279,85.83333333333333
280,78.66666666666667
281,71.5
282,92.5
283,75.2
284,58.8
285,91.5
286,90.5
287,89.5
288,88.5
289,88.0
290,87.5
291,86.5
292,85.5
293,85.0
294,84.5
295,83.5
296,82.5
297,82.0
298,81.5
299,80.5
300,79.5
301,78.83333333333333
302,78.16666666666667
303,77.5
304,76.5
305,75.5
306,75.0
307,74.5
308,73.5
309,72.5
310,72.0
311,71.5
312,70.5
313,69.5
314,69.0
315,68.5
316,67.5
317,66.5
318,65.5
319,65.0
320,64.5
321,63.5
322,62.5
323,62.0
324,61.5
325,60.5
326,59.5
327,59.0
328,58.5
329,57.5
330,56.5
331,56.0
332,55.5
333,54.5
334,53.5
335,52.5
336,52.0
337,51.5
338,50.5
339,49.5
340,49.0
341,48.5
342,47.5
343,46.5
344,46.0
345,45.5
346,44.5
347,43.5
348,43.0
349,42.5
350,41.5
351,40.5
352,39.833333333333336
353,39.166666666666664
354,38.5
355,37.5
356,36.5
357,36.0
358,35.5
359,34.5
360,33.5
361,33.0
362,32.5
363,31.5
364,30.5
365,30.0
366,29.5
367,24.0
368,27.5
369,26.5
370,26.0
