,y
0,69.0
1,64.0
2,77.0
3,68.5
4,60.0
5,80.0
6,77.0
7,75.43333333333334
8,73.86666666666666
9,72.3
10,70.73333333333333
11,69.16666666666667
12,67.6
13,66.03333333333333
14,64.46666666666667
15,62.9
16,61.333333333333336
17,59.766666666666666
18,58.2
19,56.63333333333333
20,55.06666666666666
21,53.5
22,54.0
23,53.5
24,53.333333333333336
25,53.166666666666664
26,53.0
27,52.833333333333336
28,52.666666666666664
29,52.5
30,52.333333333333336
31,52.166666666666664
32,52.0
33,51.833333333333336
34,51.666666666666664
35,51.5
36,51.3
37,51.1
38,50.916666666666664
39,50.75
40,50.583333333333336
41,50.416666666666664
42,50.25
43,50.083333333333336
44,49.9
45,49.7
46,49.5
47,49.3
48,49.1
49,48.875
50,48.625
51,48.375
52,48.125
53,47.9
54,47.7
55,47.5
56,47.3
57,47.1
58,46.875
59,46.625
60,46.375
61,46.125
62,45.875
63,45.625
64,45.375
65,45.125
66,44.875
67,44.625
68,44.375
69,44.125
70,43.857142857142854
71,43.57142857142857
72,43.285714285714285
73,43.0
74,42.666666666666664
75,42.333333333333336
76,42.0
77,41.666666666666664
78,41.333333333333336
79,41.0
80,40.666666666666664
81,40.333333333333336
82,40.0
83,39.666666666666664
84,39.333333333333336
85,39.0
86,38.6
87,38.2
88,37.833333333333336
89,37.5
90,37.166666666666664
91,36.75
92,36.25
93,35.75
94,35.25
95,34.833333333333336
96,34.5
97,34.0
98,33.5
99,33.0
100,32.5
101,32.0
102,31.0
103,30.5
104,30.0
105,29.5
106,28.5
107,28.0
108,23.400000000000006
109,27.0
110,27.5
111,28.0
112,25.200000000000003
113,29.5
114,30.0
115,30.5
116,31.5
117,32.0
118,32.5
119,33.5
120,34.0
121,34.5
122,35.0
123,36.0
124,36.5
125,37.0
126,37.5
127,38.5
128,39.0
129,39.5
130,40.0
131,40.5
132,41.0
133,42.0
134,42.5
135,43.0
136,43.5
137,44.0
138,44.666666666666664
139,45.333333333333336
140,46.0
141,46.5
142,47.0
143,47.5
144,48.0
145,48.5
146,49.0
147,49.5
148,50.0
149,50.5
150,51.0
151,51.666666666666664
152,52.25
153,52.75
154,53.25
155,53.75
156,54.25
157,54.75
158,55.25
159,55.75
160,56.166666666666664
161,56.5
162,57.0
163,57.5
164,58.0
165,58.5
166,59.0
167,59.5
168,59.833333333333336
169,60.25
170,60.75
171,61.25
172,61.75
173,62.25
174,62.75
175,63.166666666666664
176,63.5
177,63.833333333333336
178,64.25
179,64.75
180,65.25
181,65.75
182,66.16666666666667
183,66.5
184,66.83333333333333
185,67.25
186,67.75
187,68.2
188,68.6
189,69.0
190,69.4
191,69.8
192,70.25
193,70.75
194,66.0
195,56.0
196,72.0
197,72.5
198,59.8
199,74.0
200,74.5
201,75.5
202,76.0
203,76.5
204,77.0
205,77.5
206,78.0
207,78.66666666666667
208,79.25
209,79.75
210,80.25
211,80.75
212,81.16666666666667
213,81.5
214,81.83333333333333
215,82.25
216,82.75
217,83.2
218,83.6
219,84.0
220,84.33333333333333
221,84.66666666666667
222,85.0
223,85.33333333333333
224,85.66666666666667
225,86.0
226,86.33333333333333
227,86.66666666666667
228,87.0
229,87.33333333333333
230,87.66666666666667
231,88.0
232,88.28571428571429
233,88.57142857142857
234,88.85714285714286
235,89.125
236,89.375
237,89.625
238,89.875
239,90.125
240,90.375
241,90.625
242,90.875
243,91.125
244,91.375
245,91.625
246,91.875
247,92.125
248,92.375
249,92.625
250,92.875
251,93.1
252,93.3
253,93.5
254,93.7
255,93.9
256,94.1
257,94.3
258,94.5
259,94.7
260,94.9
261,95.1
262,95.3
263,95.5
264,95.7
265,95.9
266,96.1
267,96.3
268,96.5
269,96.66666666666667
270,96.83333333333333
271,97.0
272,97.16666666666667
273,97.33333333333333
274,97.5
275,97.66666666666667
276,97.83333333333333
277,98.0
278,98.16666666666667
279,98.33333333333333
280,98.5
281,68.0
282,99.0
283,75.75
284,62.4
285,98.0
286,97.5
287,97.16666666666667
288,96.75
289,96.25
290,95.83333333333333
291,95.5
292,95.16666666666667
293,94.75
294,94.25
295,93.75
296,93.25
297,92.83333333333333
298,92.5
299,92.16666666666667
300,91.75
301,91.25
302,90.75
303,90.25
304,89.83333333333333
305,89.5
306,89.0
307,88.5
308,88.16666666666667
309,87.75
310,87.25
311,86.75
312,86.25
313,85.83333333333333
314,85.5
315,85.0
316,84.5
317,84.0
318,83.5
319,83.0
320,82.5
321,82.0
322,81.5
323,81.0
324,80.5
325,80.0
326,79.5
327,79.0
328,78.5
329,78.0
330,77.5
331,77.0
332,76.5
333,76.0
334,75.5
335,75.0
336,74.33333333333333
337,73.66666666666667
338,73.0
339,72.5
340,72.0
341,71.5
342,71.0
343,70.5
344,70.0
345,69.0
346,68.5
347,68.0
348,67.5
349,67.0
350,66.5
351,65.5
352,65.0
353,64.5
354,64.0
355,63.0
356,62.5
357,62.0
358,61.5
359,60.5
360,60.0
361,59.5
362,58.5
363,58.0
364,57.5
365,56.5
366,56.0
367,55.5
368,54.5
369,54.25
