,y
0,53.5
1,49.75
2,46.0
3,50.0
4,50.75
5,51.5
6,48.46666666666667
7,45.43333333333334
8,42.4
9,39.36666666666667
10,36.333333333333336
11,33.3
12,30.266666666666666
13,27.233333333333334
14,24.200000000000003
15,21.166666666666668
16,18.133333333333333
17,15.100000000000001
18,12.06666666666667
19,9.033333333333331
20,6.0
21,11.857142857142858
22,17.714285714285715
23,23.57142857142857
24,26.5
25,26.5
26,26.5
27,26.5
28,26.642857142857142
29,26.785714285714285
30,26.928571428571427
31,27.0
32,27.0
33,27.0
34,27.0
35,27.0
36,27.0
37,27.0
38,27.0
39,27.0
40,27.0
41,27.0
42,27.0
43,27.09090909090909
44,27.181818181818183
45,27.272727272727273
46,27.363636363636363
47,27.454545454545453
48,27.5
49,27.5
50,27.5
51,27.5
52,27.5
53,27.61111111111111
54,27.72222222222222
55,27.833333333333332
56,27.944444444444443
57,28.0
58,28.0
59,28.0
60,28.0
61,28.0
62,28.0
63,28.0
64,28.0
65,28.0
66,28.0
67,28.0625
68,28.1875
69,28.3125
70,28.4375
71,28.541666666666668
72,28.625
73,28.708333333333332
74,28.791666666666668
75,28.875
76,28.958333333333332
77,29.0
78,29.0
79,29.0
80,29.0
81,29.0
82,29.0
83,29.1
84,29.2
85,29.3
86,29.4
87,29.5
88,29.59090909090909
89,29.681818181818183
90,29.772727272727273
91,29.863636363636363
92,29.954545454545453
93,30.0
94,30.0
95,30.0
96,30.0
97,30.083333333333332
98,30.25
99,30.416666666666668
100,30.55
101,30.65
102,30.75
103,30.85
104,30.95
105,30.142857142857142
106,28.42857142857143
107,26.714285714285715
108,25.0
109,31.5
110,32.5
111,33.0
112,29.200000000000003
113,34.5
114,35.5
115,36.0
116,36.5
117,37.5
118,38.5
119,39.5
120,40.0
121,40.5
122,41.5
123,42.5
124,43.0
125,43.5
126,44.5
127,45.5
128,46.5
129,47.0
130,47.5
131,48.5
132,49.5
133,50.0
134,50.5
135,51.5
136,52.5
137,53.5
138,54.0
139,54.5
140,55.5
141,56.5
142,57.0
143,57.5
144,58.5
145,59.5
146,60.5
147,61.0
148,61.5
149,62.5
150,63.5
151,64.0
152,64.5
153,65.5
154,66.5
155,67.16666666666667
156,67.83333333333333
157,68.5
158,69.5
159,70.5
160,71.0
161,71.5
162,72.5
163,73.5
164,74.5
165,75.0
166,75.5
167,76.5
168,77.5
169,78.0
170,78.5
171,79.5
172,80.5
173,81.16666666666667
174,81.83333333333333
175,82.5
176,83.5
177,84.5
178,85.0
179,85.5
180,86.5
181,87.5
182,88.16666666666667
183,88.83333333333333
184,89.5
185,90.5
186,91.5
187,92.0
188,92.5
189,93.5
190,94.5
191,95.0
192,95.5
193,96.5
194,97.5
195,81.0
196,99.0
197,98.0
198,74.75
199,90.25
200,97.8
201,97.4
202,97.0
203,96.71428571428571
204,96.42857142857143
205,96.14285714285714
206,95.875
207,95.625
208,95.375
209,95.125
210,94.875
211,94.625
212,94.375
213,94.125
214,93.9
215,93.7
216,93.5
217,93.3
218,93.1
219,92.9
220,92.7
221,92.5
222,92.3
223,92.1
224,91.9
225,91.7
226,91.5
227,91.33333333333333
228,91.16666666666667
229,91.0
230,90.83333333333333
231,90.66666666666667
232,90.5
233,90.33333333333333
234,90.16666666666667
235,90.0
236,89.83333333333333
237,89.66666666666667
238,89.5
239,89.35714285714286
240,89.21428571428571
241,89.07142857142857
242,88.92857142857143
243,88.78571428571429
244,88.64285714285714
245,88.5
246,88.35714285714286
247,88.21428571428571
248,88.07142857142857
249,87.9375
250,87.8125
251,87.6875
252,87.5625
253,87.4375
254,87.3125
255,87.1875
256,87.0625
257,86.9375
258,86.8125
259,86.6875
260,86.5625
261,86.4375
262,86.3125
263,86.1875
264,86.0625
265,86.0
266,86.0
267,86.0
268,86.0
269,85.66666666666667
270,85.4375
271,85.3125
272,85.1875
273,85.0625
274,85.0
275,85.0
276,85.0
277,85.0
278,84.75
279,84.5
280,74.625
281,64.75
282,84.5
283,64.5
284,58.666666666666664
285,82.5
286,82.0
287,81.5
288,80.5
289,80.0
290,79.5
291,78.5
292,78.0
293,77.5
294,76.5
295,76.0
296,75.5
297,74.5
298,74.0
299,73.5
300,72.5
301,72.0
302,71.5
303,70.5
304,70.0
305,69.5
306,68.5
307,68.0
308,67.5
309,66.5
310,66.0
311,65.5
312,64.5
313,64.0
314,63.5
315,62.5
316,62.0
317,61.5
318,60.5
319,60.0
320,59.5
321,58.5
322,58.0
323,57.5
324,56.5
325,56.0
326,55.5
327,54.5
328,54.0
329,53.5
330,52.5
331,52.0
332,51.5
333,50.5
334,50.0
335,49.5
336,48.5
337,48.0
338,47.5
339,46.5
340,46.0
341,45.5
342,44.5
343,44.0
344,43.5
345,42.5
346,42.0
347,41.5
348,40.5
349,40.0
350,39.5
351,38.5
352,38.0
353,37.5
354,36.5
355,36.0
356,35.5
357,35.0
358,34.0
359,33.5
360,33.0
361,32.0
362,31.5
363,31.0
364,30.0
365,29.5
366,29.0
367,22.5
368,27.5
369,27.0
370,26.0
