,y
0,71.0
1,64.0
2,77.0
3,68.5
4,60.0
5,73.0
6,77.0
7,71.92857142857143
8,66.85714285714286
9,61.785714285714285
10,56.714285714285715
11,51.642857142857146
12,46.57142857142857
13,41.5
14,36.42857142857143
15,31.35714285714286
16,26.285714285714292
17,21.214285714285715
18,16.142857142857146
19,11.07142857142857
20,6.0
21,50.5
22,50.166666666666664
23,49.75
24,49.25
25,48.833333333333336
26,48.5
27,48.0
28,47.5
29,47.166666666666664
30,46.75
31,46.25
32,45.833333333333336
33,45.5
34,45.166666666666664
35,44.8
36,44.4
37,44.0
38,43.6
39,43.2
40,42.833333333333336
41,42.5
42,42.166666666666664
43,41.833333333333336
44,41.5
45,41.166666666666664
46,40.857142857142854
47,40.57142857142857
48,40.285714285714285
49,40.0
50,39.666666666666664
51,39.333333333333336
52,39.0
53,38.714285714285715
54,38.42857142857143
55,38.142857142857146
56,37.857142857142854
57,37.57142857142857
58,37.285714285714285
59,37.0
60,36.75
61,36.5
62,36.25
63,36.0
64,35.714285714285715
65,35.42857142857143
66,35.142857142857146
67,34.9
68,34.7
69,34.5
70,34.25
71,34.0
72,33.75
73,33.5
74,33.3
75,33.1
76,32.875
77,32.625
78,32.375
79,32.125
80,31.9
81,31.7
82,31.5
83,31.3
84,31.1
85,30.9
86,30.7
87,30.5
88,30.3
89,30.1
90,29.9
91,29.7
92,29.5
93,29.333333333333332
94,29.166666666666668
95,29.0
96,28.833333333333332
97,28.666666666666668
98,28.5
99,28.3
100,28.1
101,27.9
102,27.7
103,27.5
104,27.3
105,27.1
106,26.0
107,24.0
108,22.0
109,26.5
110,27.0
111,28.0
112,25.200000000000003
113,29.0
114,29.5
115,30.5
116,31.0
117,31.5
118,32.0
119,33.0
120,33.5
121,34.0
122,34.5
123,35.0
124,36.0
125,36.5
126,37.0
127,37.5
128,38.0
129,39.0
130,39.5
131,40.0
132,40.5
133,41.0
134,42.0
135,42.5
136,43.0
137,43.5
138,44.0
139,44.5
140,45.0
141,46.0
142,46.5
143,47.0
144,47.5
145,48.0
146,48.666666666666664
147,49.333333333333336
148,50.0
149,50.5
150,51.0
151,51.5
152,52.0
153,52.5
154,53.0
155,54.0
156,54.5
157,55.0
158,55.5
159,56.0
160,56.5
161,57.0
162,57.5
163,58.0
164,58.666666666666664
165,59.25
166,59.75
167,60.333333333333336
168,61.0
169,61.5
170,62.0
171,62.5
172,63.0
173,63.5
174,64.0
175,64.5
176,65.0
177,65.5
178,66.0
179,66.5
180,67.0
181,67.5
182,68.0
183,68.66666666666667
184,69.25
185,69.75
186,70.25
187,70.75
188,71.25
189,71.75
190,72.25
191,72.75
192,73.25
193,73.75
194,69.0
195,59.0
196,69.66666666666667
197,67.33333333333333
198,52.0
199,60.0
200,68.0
201,76.0
202,76.16666666666667
203,76.33333333333333
204,76.5
205,76.7
206,76.9
207,77.1
208,77.3
209,77.5
210,77.66666666666667
211,77.83333333333333
212,78.0
213,78.16666666666667
214,78.33333333333333
215,78.5
216,78.7
217,78.9
218,79.1
219,79.3
220,79.5
221,79.7
222,79.9
223,80.125
224,80.375
225,80.625
226,80.875
227,81.1
228,81.3
229,81.5
230,81.7
231,81.9
232,82.125
233,82.375
234,82.625
235,82.875
236,83.125
237,83.375
238,83.625
239,83.875
240,84.125
241,84.375
242,84.625
243,84.875
244,85.14285714285714
245,85.42857142857143
246,85.71428571428571
247,86.0
248,86.25
249,86.5
250,86.75
251,87.0
252,87.33333333333333
253,87.66666666666667
254,88.0
255,88.33333333333333
256,88.66666666666667
257,89.0
258,89.25
259,89.5
260,89.75
261,90.0
262,90.4
263,90.8
264,91.16666666666667
265,91.5
266,91.83333333333333
267,92.2
268,92.6
269,93.0
270,93.4
271,93.8
272,94.16666666666667
273,94.5
274,94.83333333333333
275,95.25
276,95.75
277,96.25
278,96.75
279,97.16666666666667
280,97.5
281,75.25
282,98.5
283,75.75
284,62.4
285,98.0
286,97.33333333333333
287,96.75
288,96.25
289,95.75
290,95.25
291,94.75
292,94.25
293,93.66666666666667
294,93.0
295,92.5
296,92.0
297,91.5
298,91.0
299,90.5
300,90.0
301,89.5
302,89.0
303,88.5
304,88.0
305,87.5
306,87.0
307,86.5
308,86.0
309,85.5
310,85.0
311,84.33333333333333
312,83.66666666666667
313,83.0
314,82.5
315,82.0
316,81.5
317,81.0
318,80.5
319,80.0
320,79.5
321,79.0
322,78.5
323,78.0
324,77.0
325,76.5
326,76.0
327,75.5
328,75.0
329,74.5
330,74.0
331,73.33333333333333
332,72.66666666666667
333,72.0
334,71.5
335,71.0
336,70.5
337,70.0
338,69.5
339,69.0
340,68.0
341,67.5
342,67.0
343,66.5
344,66.0
345,65.0
346,64.5
347,64.0
348,63.5
349,63.0
350,62.0
351,61.5
352,61.0
353,60.5
354,60.0
355,59.0
356,58.5
357,58.0
358,57.5
359,57.0
360,56.0
361,55.5
362,55.0
363,54.5
364,53.5
365,53.0
366,52.5
367,40.5
368,51.0
369,50.5
370,50.0
